(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B089TVMF6J,B084RQKLV8,"CERAKOTE® Ceramic Headlight Restoration Kit, 10 Wipe Kit","33,946",703,36.62%,29.78%,"51,442","1,110",39.39%,32.27%,99.86%,100.00%,"10,113",276,29.79%,39.26%,"$180,593.61","$4,701.56","9,650",206
B0D67BNBP5,B07SHJVK4G,"CERAKOTE® Ceramic Trim Coat Kit - Quick Plastic Trim Restorer - Ceramic Coating Guaranteed Restoration to Last Over 200 Washes – A Ceramic Coating, Not a Dressing","15,008",367,16.19%,15.54%,"20,916",539,16.02%,15.67%,99.59%,100.00%,"3,530",114,23.52%,31.06%,"$59,271.20","$1,828.56","3,383",100
B0GYB3BNQD,B0F45C2YHV,"CERAKOTE® Rapid Ceramic Tire Coat, 10 oz","5,359",114,5.78%,4.83%,"7,412",179,5.68%,5.20%,99.21%,100.00%,"1,451",44,27.08%,38.60%,"$21,582.45",$625.55,"1,422",41
B0FPPKL8NX,B0B94G13CN,"CERAKOTE® Rapid Ceramic Paint Sealant, Ceramic Coating for Cars, 14 oz","10,561",270,11.39%,11.44%,"14,887",410,11.40%,11.92%,99.43%,100.00%,"1,164",38,11.02%,14.07%,"$22,782.71",$698.43,"1,079",26
B0H1SW5VNC,B0FYRJ1966,"CERAKOTE® Rapid Ceramic Plastic Restorer and Protectant Spray, 14 oz","6,124",134,6.61%,5.68%,"8,031",185,6.15%,5.38%,99.54%,100.00%,"1,046",31,17.08%,23.13%,"$15,515.66",$438.96,"1,025",31
B0GHPTBVQK,B0DJMW6283,"CERAKOTE® Microfiber Towels for Cars, 300 GSM Lint-Free Cloths, 12 Pack","1,657",64,1.79%,2.71%,"2,108",73,1.61%,2.12%,100.00%,100.00%,535,11,32.29%,17.19%,"$5,300.91",$103.95,486,11
B0F7CLSLCC,B0DKVZRX69,"CERAKOTE® Rapid Ceramic Interior Detailer and Protectant Spray, 14 fl oz","2,109",41,2.27%,1.74%,"2,800",63,2.14%,1.83%,99.37%,100.00%,361,10,17.12%,24.39%,"$4,156.46",$110.50,357,10
B0F3YX7X5K,B0CQN1RXYB,"CERAKOTE® Ceramic Glass Coat Protectant, Rain Repellent for Cars, 4 Wipes","2,583",60,2.79%,2.54%,"3,242",67,2.48%,1.95%,96.84%,97.30%,315,8,12.20%,13.33%,"$3,130.75",$76.10,266,8
B089TVMF6J,B08FF6X75N,"CERAKOTE® Ceramic Headlight Restoration Detailer Pack, 20 Wipes","3,102",96,3.35%,4.07%,"4,143",132,3.17%,3.84%,95.52%,98.72%,279,30,8.99%,31.25%,"$13,868.55","$1,431.00",262,28
B0DW3TSFP9,B0DVV6K9Y6,"CERAKOTE® High Foam Vehicle Shampoo, pH Neutral Car Wash Soap, 32 oz",704,15,0.76%,0.64%,913,26,0.70%,0.76%,98.83%,100.00%,173,4,24.57%,26.67%,"$2,727.67",$60.68,168,4
