(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0FW6WFX4D,B0FW6WFX4D,"CERAKOTE® Rapid Ceramic Wheel Sealant Spray, 14 oz",512,11,0.55%,0.47%,691,13,0.53%,0.38%,99.34%,100.00%,139,10,27.15%,90.91%,"$2,209.05",$151.50,132,5
B0C4QX35KX,B0C4QX35KX,"CERAKOTE Ceramic Trim Coat Black Plastic Restorer for Cars, 4 oz",785,61,0.85%,2.58%,"1,076",84,0.82%,2.44%,95.43%,98.44%,127,19,16.18%,31.15%,"$5,035.65",$721.05,115,15
B0FPPKL8NX,B0C4ZVMRRK,CERAKOTE® Rapid Ceramic Paint Sealant - 32 oz Bulk Pack - Extremely Hydrophobic Ceramic Coating for Cars - Maximum Gloss & Shine – Unmatched Slickness - Pro Results,745,36,0.80%,1.52%,944,45,0.72%,1.31%,100.00%,100.00%,111,4,14.90%,11.11%,"$3,833.98",$129.28,109,4
B0HF6JLTTZ,B0CN8HJSYM,"CERAKOTE® Ceramic Coating for Cars, Professional 60 Ml Kit","2,145",90,2.31%,3.81%,"2,990",132,2.29%,3.84%,95.68%,97.67%,112,10,5.22%,11.11%,"$11,067.40",$872.50,105,6
B0H1SW5VNC,B0H1NM7467,"CERAKOTE® Rapid Ceramic Plastic Restorer and Protectant Pro Pack, 32 oz",485,28,0.52%,1.19%,634,36,0.49%,1.05%,100.00%,100.00%,75,9,15.46%,32.14%,"$2,009.10",$230.40,73,8
B0GYB3BNQD,B0GY1XLQMS,"CERAKOTE® Rapid Ceramic Tire Coat, Deep Black Tire Shine Pro Pack, 32 oz",453,20,0.49%,0.85%,567,28,0.43%,0.81%,99.26%,100.00%,69,3,15.23%,15.00%,"$2,612.85",$108.15,69,3
B0DW3TSFP9,B0DVB4P9KQ,"CERAKOTE® High Foam Vehicle Shampoo, pH Neutral Car Wash Soap, 16 oz",693,11,0.75%,0.47%,872,14,0.67%,0.41%,100.00%,100.00%,68,1,9.81%,9.09%,$677.46,$9.47,65,1
B0DH5HKH5R,B0DH5HKH5R,"CERAKOTE® Premium Microfiber Applicator Pads for Cars, 3 Pack",160,3,0.17%,0.13%,200,3,0.15%,0.09%,100.00%,100.00%,60,2,37.50%,66.67%,$536.10,$17.00,58,2
B0D67BNBP5,B08DDGFXPK,"CERAKOTE Ceramic Trim Coat Black Plastic Restorer for Cars, 50 Wipes",711,26,0.77%,1.10%,825,28,0.63%,0.81%,92.79%,93.75%,68,7,9.56%,26.92%,"$5,049.64",$477.69,57,6
B089TVMF6J,B08DDJ49X7,"CERAKOTE® Ceramic Headlight Restoration Detailer Pack, Step 1, 50 Wipes",707,46,0.76%,1.95%,872,64,0.67%,1.86%,94.93%,100.00%,47,8,6.65%,17.39%,"$2,796.65",$458.60,47,8
B0H1T7P4WX,B0H1NP4461,"CERAKOTE® Rapid Ceramic PPF and Vinyl Protective Sealant Spray, 14 oz",259,13,0.28%,0.55%,350,17,0.27%,0.49%,100.00%,100.00%,46,6,17.76%,46.15%,"$1,048.80",$130.80,40,4
B0DH5ZC1N4,B0DH5ZC1N4,"CERAKOTE® Foam Applicator Pads for Tire Coating, 3 Pack",158,5,0.17%,0.21%,192,6,0.15%,0.17%,100.00%,100.00%,38,2,24.05%,40.00%,$339.20,$17.00,37,2
B0F7CLSLCC,B0DKVBTNNT,"CERAKOTE® Rapid Ceramic Interior Detailer and Protectant Spray, 2 Pack",158,9,0.17%,0.38%,199,15,0.15%,0.44%,97.89%,100.00%,24,1,15.19%,11.11%,$478.04,$18.96,23,1
B0HF6JLTTZ,B0GYBH76BR,"CERAKOTE® Ceramic Coating for Wheels and Rims, Professional 30 ml Kit",257,17,0.28%,0.72%,315,22,0.24%,0.64%,97.99%,100.00%,21,1,8.17%,5.88%,"$1,255.95",$56.95,21,1
B0F3YX7X5K,B0F3G1V5SF,"CERAKOTE® Ceramic Glass Coat Pro Pack, Rain Repellent, 20 Wipes",192,9,0.21%,0.38%,243,11,0.19%,0.32%,94.81%,100.00%,18,0,9.38%,0.00%,$719.10,$0.00,17,0
B0GZSHD4GP,B0GZSHD4GP,"CERAKOTE® Glass Cleaner for Cars, Streak-Free Formula, 16 oz",70,0,0.08%,0.00%,101,0,0.08%,0.00%,100.00%,0.00%,12,0,17.14%,0.00%,$143.64,$0.00,12,0
B0H7WGD8YY,B0F2JBJXYJ,Cerakote Rapid Ceramic Aircraft Protective Coating (14 oz.) - Aviation Grade Ceramic Protection - Quick and Easy Application - Keep Aircraft Cleaner Longer,547,5,0.59%,0.21%,646,10,0.49%,0.29%,99.67%,100.00%,12,2,2.19%,40.00%,$334.61,$53.10,10,1
B0F8JJM54R,B0F8JJM54R,"CERAKOTE® Clay Prep Mitt for Vehicle Surface Prep, Medium Grade",54,1,0.06%,0.04%,71,1,0.05%,0.03%,100.00%,100.00%,11,0,20.37%,0.00%,$197.45,$0.00,10,0
B0F7CLSLCC,B0H1NDSGVJ,"CERAKOTE® Rapid Ceramic Interior Detailer and Protectant Pro Pack, 32 fl oz",91,5,0.10%,0.21%,122,8,0.09%,0.23%,96.52%,100.00%,10,1,10.99%,20.00%,$208.45,$19.90,10,1
B0HF6JLTTZ,B0H3QLBNZF,"CERAKOTE® Ceramic Coating for PPF and Vinyl Wrap, Pro 60 ml Kit",141,12,0.15%,0.51%,161,14,0.12%,0.41%,96.15%,100.00%,6,2,4.26%,16.67%,$678.20,$218.40,6,2
B0CXKPY6B8,B0CXKPY6B8,CERAKOTE® Ceramic Headlight Restoration Pro Kit - 10 Vehicle Bundle - Brings Headlights Back to Like New Condition - 3 Easy Steps - No Power Tools Required,90,7,0.10%,0.30%,105,9,0.08%,0.26%,92.23%,100.00%,5,1,5.56%,14.29%,$593.75,$113.95,5,1
B0HF6JLTTZ,B0H3QRH9B7,"CERAKOTE® Marine Ceramic Coating for Boats, Professional 60 ml Kit",137,11,0.15%,0.47%,153,12,0.12%,0.35%,92.05%,87.50%,4,0,2.92%,0.00%,$499.80,$0.00,4,0
B0HF1D67G1,B0F2JL4F2W,"CERAKOTE® Ceramic Car Wash Kit, 7 Piece",57,2,0.06%,0.08%,77,2,0.06%,0.06%,98.65%,100.00%,3,0,5.26%,0.00%,$212.85,$0.00,3,0
B0HF6JLTTZ,B0H51RDY69,"CERAKOTE® Aircraft Ceramic Coating, Professional 60 ml Kit",109,4,0.12%,0.17%,125,4,0.10%,0.12%,94.35%,100.00%,1,1,0.92%,25.00%,$132.95,$132.95,1,1
B089TVMF6J,B089TVMF6J,CERAKOTE Ceramic Headlight Restoration Kit,6,0,0.01%,0.00%,6,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0CN8MFBLH,B0CN8MFBLH,"CERAKOTE® Professional Ceramic Coating for Cars, 360 ml Kit",30,6,0.03%,0.25%,41,8,0.03%,0.23%,97.30%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0D67BNBP5,B0D67BNBP5,CERAKOTE Ceramic Trim Coat Black Plastic Restorer for Cars,1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0DZDKDCDK,B0DZDKDCDK,CERAKOTE® Auto Paint Sealant Bundle with 12 Pack Microfiber Towels,32,0,0.03%,0.00%,37,0,0.03%,0.00%,89.19%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0DZDW7FM3,B0DZDW7FM3,"CERAKOTE® Ceramic Trim Coat Kit, 10 Wipes, with Microfiber Towels",64,1,0.07%,0.04%,73,1,0.06%,0.03%,87.32%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0DZF4M3RH,B0DZF4M3RH,"CERAKOTE® Interior Car Care Bundle, Interior Detailer Spray and 12 Towels",18,0,0.02%,0.00%,22,0,0.02%,0.00%,95.24%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0HF1D67G1,B0F23KPC5G,"CERAKOTE® Car Wash and Detailing Kit, All In, 11 Piece",65,1,0.07%,0.04%,70,1,0.05%,0.03%,98.57%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0HF1D67G1,B0F2BFSMZT,"CERAKOTE® Ceramic Coating Kit for Cars, 5 Piece",91,1,0.10%,0.04%,114,1,0.09%,0.03%,98.11%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0HF1D67G1,B0F2JKWWMM,"CERAKOTE® Ceramic Car Detailing Kit, 6 Piece",65,2,0.07%,0.08%,74,2,0.06%,0.06%,97.26%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0HF1D67G1,B0F3G9BC3G,"CERAKOTE® Ceramic Car Wash and Detailing Kit, 5 Piece",111,5,0.12%,0.21%,137,8,0.10%,0.23%,99.24%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0HF1D67G1,B0F3GD9G6N,"CERAKOTE® Car Detailing Bundle, Fully Covered, 8 Piece",79,2,0.09%,0.08%,93,2,0.07%,0.06%,96.67%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0FH5GZ2JP,B0FH5GZ2JP,"CERAKOTE® Exterior Car Care Bundle, Tire Coat, Paint Sealant, Towels",4,0,0.00%,0.00%,4,0,0.00%,0.00%,50.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0FH5HJ373,B0FH5HJ373,"CERAKOTE® Tire Care Bundle, Tire Coat, Shampoo, and Towels",3,0,0.00%,0.00%,3,0,0.00%,0.00%,33.33%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0FN8BSR7R,B0FN8BSR7R,"CERAKOTE® Car Maintenance Bundle, Paint Sealant, Interior Detailer, Towels",2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0FN8HFCWK,B0FN8HFCWK,"CERAKOTE® Tire Coating Bundle, Tire Coat and 12 Microfiber Towels",10,1,0.01%,0.04%,14,2,0.01%,0.06%,91.67%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0FPPKL8NX,B0FPPKL8NX,"CERAKOTE® Rapid Ceramic Paint Sealant, Ceramic Coating Spray for Cars",1,0,0.00%,0.00%,2,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0G4SLYJ86,B0G4SLYJ86,"CERAKOTE® Car Plastic Care Bundle, Plastic Restorer and Shampoo",7,1,0.01%,0.04%,8,1,0.01%,0.03%,87.50%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0G4SMDX97,B0G4SMDX97,"CERAKOTE® Car Plastic Restore Bundle, Trim Restorer and 12 Towels",24,2,0.03%,0.08%,27,2,0.02%,0.06%,96.15%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0G4SN8WD2,B0G4SN8WD2,"CERAKOTE® Ceramic Finish Bundle, Paint Sealant and Plastic Trim Restorer",53,0,0.06%,0.00%,71,0,0.05%,0.00%,81.82%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B089TVMF6J,B0GH4JPRN6,"CERAKOTE® Ceramic Headlight Restoration Detailer Pack, Step 3, 40 Wipes",498,20,0.54%,0.85%,587,26,0.45%,0.76%,90.33%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0GHPTBVQK,B0GHPR5LJ1,"CERAKOTE Microfiber Towels (24 Pack) - Cleaning and Application Towels - Durable 300 GSM Lint-Free Material - Ideal for Cars, Home, Shop and Office",111,4,0.12%,0.17%,121,5,0.09%,0.15%,96.69%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0H1T7P4WX,B0H1SP98C3,"CERAKOTE® Rapid Ceramic PPF and Vinyl Protective Sealant, 32 oz",30,3,0.03%,0.13%,34,3,0.03%,0.09%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0F3YX7X5K,B0H7TKVKDF,"CERAKOTE® Ceramic Glass Coat Protectant - Hydrophobic Automotive Rain Repellant, Long-Lasting and Durable Ceramic Coating, Quick and Easy Application (Pack of 2)",158,4,0.17%,0.17%,193,4,0.15%,0.12%,95.70%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0FPPKL8NX,B0H7TNPMYM,"CERAKOTE® Rapid Ceramic Paint Sealant, Ceramic Coating for Cars, 2 Pack",305,10,0.33%,0.42%,343,10,0.26%,0.29%,98.81%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0HCR5GFYG,B0HCR5GFYG,"CERAKOTE® Professional Ceramic Coating for RVs, 360 ml Kit",70,2,0.08%,0.08%,81,2,0.06%,0.06%,91.89%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
