market,asin,sku,title,sales,units,orders,ppc_cost,ppc_sales,sessions
FR,_TOTAL_,,,7019.84,314,310,903.65,2857.72,2301
FR,B084RQKLV8,AH-HLKITA,Headlight Kit,6172.98,270,266,671.45,2217.09,1666
FR,B0F45C2YHV,AH-RCTIRE10A,Tire Coat,372.68,20,20,180.06,441.12,275
FR,B07SHJVK4G,AH-TRKITA,Trim Coat,369.67,17,17,37.84,199.51,177
FR,B0B94G13CN,AH-RCPAINTA,Paint Sealant,47.90,2,2,0,0,42
FR,B0DJMW6283,AH-MICRTOWEL12A,Microfiber Towels,27.71,3,3,0,0,21
FR,B0CQN1RXYB,AH-GLASSCOATA,Glass Coat,14.95,1,1,14.30,0.00,73
FR,B0DKVZRX69,AH-RCINT14A,Interior Detailer,13.95,1,1,0,0,16
FR,B0CN8HJSYM,AH-PROPAINTKITA,Pro Ceramic Coating,0,0,0,0,0,11
FR,B0DVB4P9KQ,AH-VEHSHAM16A,Vehicle Shampoo,0,0,0,0,0,3
FR,B0FW6WFX4D,AH-RCWHL14A,Wheel Sealant,0,0,0,0,0,6
FR,B0FYRJ1966,AH-RCPL-B14A,Plastic Restorer,0,0,0,0,0,11
