market,asin,sku,title,sales,units,orders,ppc_cost,ppc_sales,sessions
US,_TOTAL_,,,371704.49,20060,19133,29269.68,145697.31,92699
US,B084RQKLV8,AH-HLKITA,"CERAKOTE® Ceramic Headlight Restoration Kit, 10 Wipe Kit",180611.56,10114,9651,14035.54,68591.39,33946
US,B07SHJVK4G,AH-TRKITA,CERAKOTE® Ceramic Trim Coat Kit - Quick Plastic Trim Restorer - Ceramic Coating ,59288.08,3531,3384,5220.69,30393.44,15008
US,B0B94G13CN,AH-RCPAINTA,"CERAKOTE® Rapid Ceramic Paint Sealant, Ceramic Coating for Cars, 14 oz",22841.78,1167,1082,2291.05,10665.11,10561
US,B0F45C2YHV,AH-RCTIRE10A,"CERAKOTE® Rapid Ceramic Tire Coat, 10 oz",21582.45,1451,1422,2473.97,10287.94,5359
US,B0FYRJ1966,AH-RCPL-B14A,"CERAKOTE® Rapid Ceramic Plastic Restorer and Protectant Spray, 14 oz",15515.66,1046,1025,1998.39,10980.44,6124
US,B08FF6X75N,AH-828A,"CERAKOTE® Ceramic Headlight Restoration Detailer Pack, 20 Wipes",13868.55,279,262,0,0,3102
US,B0CN8HJSYM,AH-PROPAINTKITA,"CERAKOTE® Ceramic Coating for Cars, Professional 60 Ml Kit",11067.4,112,105,1574.49,4751.35,2145
US,B0DJMW6283,AH-MICRTOWEL12A,"CERAKOTE® Microfiber Towels for Cars, 300 GSM Lint-Free Cloths, 12 Pack",5300.91,535,486,236.23,1198.48,1657
US,B08DDGFXPK,AH-810A,"CERAKOTE Ceramic Trim Coat Black Plastic Restorer for Cars, 50 Wipes",5049.64,68,57,0,0,711
US,B0C4QX35KX,AH-TRPROAUPC,"CERAKOTE Ceramic Trim Coat Black Plastic Restorer for Cars, 4 oz",5035.65,127,115,39.83,265.65,785
US,B0DKVZRX69,AH-RCINT14A,"CERAKOTE® Rapid Ceramic Interior Detailer and Protectant Spray, 14 fl oz",4156.46,361,357,555.4,3612.94,2109
US,B0C4ZVMRRK,AH-RCPAINTQA,CERAKOTE® Rapid Ceramic Paint Sealant - 32 oz Bulk Pack - Extremely Hydrophobic ,3833.98,111,109,0,0,745
US,B0CQN1RXYB,AH-GLASSCOATA,"CERAKOTE® Ceramic Glass Coat Protectant, Rain Repellent for Cars, 4 Wipes",3140.7,316,267,486.15,2952.78,2583
US,B08DDJ49X7,AH-811A,"CERAKOTE® Ceramic Headlight Restoration Detailer Pack, Step 1, 50 Wipes",2796.65,47,47,15.0,121.45,707
US,B0DVV6K9Y6,AH-VEHSHAM32A,"CERAKOTE® High Foam Vehicle Shampoo, pH Neutral Car Wash Soap, 32 oz",2727.67,173,168,241.18,1535.08,704
US,B0GY1XLQMS,AH-RCTIRE-QA,"CERAKOTE® Rapid Ceramic Tire Coat, Deep Black Tire Shine Pro Pack, 32 oz",2612.85,69,69,0,0,453
US,B0FW6WFX4D,AH-RCWHL14A,"CERAKOTE® Rapid Ceramic Wheel Sealant Spray, 14 oz",2209.05,139,132,27.87,115.39,512
US,B0H1NM7467,AH-RCPL-QA,"CERAKOTE® Rapid Ceramic Plastic Restorer and Protectant Pro Pack, 32 oz",2009.1,75,73,0,0,485
US,B0GYBH76BR,AH-PROWHLKITA,"CERAKOTE® Ceramic Coating for Wheels and Rims, Professional 30 ml Kit",1255.95,21,21,9.44,59.95,257
