market,asin,sku,title,sales,units,orders,ppc_cost,ppc_sales,sessions
US,B0H1NP4461,AH-RCPV14A,"CERAKOTE® Rapid Ceramic PPF and Vinyl Protective Sealant Spray, 14 oz",1048.8,46,40,0,0,259
US,B0F3G1V5SF,AH-813A,"CERAKOTE® Ceramic Glass Coat Pro Pack, Rain Repellent, 20 Wipes",719.1,18,17,0,0,192
US,B0H3QLBNZF,AH-PROPVKITA,"CERAKOTE® Ceramic Coating for PPF and Vinyl Wrap, Pro 60 ml Kit",678.2,6,6,0,0,141
US,B0DVB4P9KQ,AH-VEHSHAM16A,"CERAKOTE® High Foam Vehicle Shampoo, pH Neutral Car Wash Soap, 16 oz",677.46,68,65,3.28,0.0,693
US,B0CXKPY6B8,AH-HLPRO10,CERAKOTE® Ceramic Headlight Restoration Pro Kit - 10 Vehicle Bundle - Brings Hea,593.75,5,5,0,0,90
US,B0DH5HKH5R,AH-SPONGE3A,"CERAKOTE® Premium Microfiber Applicator Pads for Cars, 3 Pack",536.1,60,58,0,0,160
US,B0H3QRH9B7,AH-PROMARKITA,"CERAKOTE® Marine Ceramic Coating for Boats, Professional 60 ml Kit",499.8,4,4,4.4,0.0,137
US,B0DKVBTNNT,AH-RCINT14-2PK,"CERAKOTE® Rapid Ceramic Interior Detailer and Protectant Spray, 2 Pack",478.04,24,23,0,0,158
US,B0DH5ZC1N4,AH-FOAMAPP3,"CERAKOTE® Foam Applicator Pads for Tire Coating, 3 Pack",339.2,38,37,0,0,158
US,B0F2JBJXYJ,AH-RCACA,Cerakote Rapid Ceramic Aircraft Protective Coating (14 oz.) - Aviation Grade Cer,334.61,12,10,0,0,547
US,B0F2JL4F2W,AH-BNDL-COREA,"CERAKOTE® Ceramic Car Wash Kit, 7 Piece",212.85,3,3,0.7,31.92,57
US,B0H1NDSGVJ,AH-RCINT-QA,"CERAKOTE® Rapid Ceramic Interior Detailer and Protectant Pro Pack, 32 fl oz",208.45,10,10,0,0,91
US,B0F8JJM54R,AH-CLAYMITTA,"CERAKOTE® Clay Prep Mitt for Vehicle Surface Prep, Medium Grade",197.45,11,10,0,0,54
US,B0GZSHD4GP,AH-GCLEAN-B16A,"CERAKOTE® Glass Cleaner for Cars, Streak-Free Formula, 16 oz",143.64,12,12,0,0,70
US,B0H51RDY69,AH-PROACKIT,"CERAKOTE® Aircraft Ceramic Coating, Professional 60 ml Kit",132.95,1,1,0,0,109
US,B0F23KPC5G,AH-BNDL-ALLIN,"CERAKOTE® Car Wash and Detailing Kit, All In, 11 Piece",0,0,0,11.1,82.48,65
US,B0F3GD9G6N,AH-BNDL-FLCVR,"CERAKOTE® Car Detailing Bundle, Fully Covered, 8 Piece",0,0,0,6.21,31.83,79
US,B0CN8MFBLH,AH-PROPAINT12,"CERAKOTE® Professional Ceramic Coating for Cars, 360 ml Kit",0,0,0,4.33,0.0,30
US,B0DZDKDCDK,,,0,0,0,0,0,32
US,B0DZDW7FM3,,,0,0,0,0,0,64
US,B0DZF4M3RH,,,0,0,0,0,0,18
US,B0F2BFSMZT,AH-BNDL-PRO,"CERAKOTE® Ceramic Coating Kit for Cars, 5 Piece",0,0,0,0,0,91
US,B0F2JKWWMM,AH-BNDL-RESTOR,"CERAKOTE® Ceramic Car Detailing Kit, 6 Piece",0,0,0,0,0,65
US,B0F3G9BC3G,AH-BNDL-FNDTNA,"CERAKOTE® Ceramic Car Wash and Detailing Kit, 5 Piece",0,0,0,34.43,19.69,111
US,B0FH5GZ2JP,,,0,0,0,0,0,4
US,B0FN8BSR7R,,,0,0,0,0,0,2
US,B0FN8HFCWK,,,0,0,0,0,0,10
US,B0G4SLYJ86,,,0,0,0,0,0,7
US,B0G4SMDX97,,,0,0,0,0,0,24
US,B0G4SN8WD2,,,0,0,0,0,0,53
US,B0GH4JPRN6,,,0,0,0,0,0,498
US,B0GHPR5LJ1,,,0,0,0,0,0,111
US,B0H1SP98C3,AH-RCPV-QA,"CERAKOTE® Rapid Ceramic PPF and Vinyl Protective Sealant, 32 oz",0,0,0,0,0,30
US,B0H7TKVKDF,,,0,0,0,0,0,158
US,B0H7TNPMYM,,,0,0,0,0,0,305
US,B0HCR5GFYG,AH-PRORV12,"CERAKOTE® Professional Ceramic Coating for RVs, 360 ml Kit",0,0,0,0,0,70
US,B0FH5HJ373,,,0,0,0,0,0,3
