market,asin,sku,title,sales,units,orders,ppc_cost,ppc_sales,sessions
ES,_TOTAL_,,,3956.04,187,183,499.38,1643.43,2524
ES,B084RQKLV8,AH-HLKITA,Headlight Kit,2675.98,122,118,209.30,892.15,1111
ES,B07SHJVK4G,AH-TRKITA,Trim Coat,552.93,28,28,35.34,233.32,309
ES,B0B94G13CN,AH-RCPAINTA,Paint Sealant,386.70,17,17,181.94,461.92,689
ES,B0F45C2YHV,AH-RCTIRE10A,Tire Coat,204.24,12,12,68.12,56.04,206
ES,B0FYRJ1966,AH-RCPL-B14A,Plastic Restorer,87.34,5,5,0,0,81
ES,B0FW6WFX4D,AH-RCWHL14A,Wheel Sealant,35.90,2,2,0,0,16
ES,B0CQN1RXYB,AH-GLASSCOATA,Glass Coat,12.95,1,1,4.68,0.00,84
ES,B0DJMW6283,AH-MICRTOWEL12A,Microfiber Towels,0,0,0,0,0,6
ES,B0DKVZRX69,AH-RCINT14A,Interior Detailer,0,0,0,0,0,18
ES,B0DVB4P9KQ,AH-VEHSHAM16A,Vehicle Shampoo,0,0,0,0,0,4
