market,asin,sku,title,sales,units,orders,ppc_cost,ppc_sales,sessions
UK,_TOTAL_,,,27460.49,1604,1576,2962.76,12648.93,9537
UK,B084RQKLV8,AH-HLKITA,Headlight Kit,20107.92,1121,1103,1804.18,9710.60,4608
UK,B07SHJVK4G,AH-TRKITA,Trim Coat,2492.49,147,145,259.80,1080.00,1197
UK,B0F45C2YHV,AH-RCTIRE10A,Tire Coat,2270.35,163,157,498.06,1112.42,1341
UK,B0B94G13CN,AH-RCPAINTA,Paint Sealant,795.90,42,42,174.95,363.98,850
UK,B0FYRJ1966,AH-RCPL-B14A,Plastic Restorer,568.10,38,38,53.76,135.38,567
UK,B0FW6WFX4D,AH-RCWHL14A,Wheel Sealant,358.80,24,24,0,0,138
UK,B0DKVZRX69,AH-RCINT14A,Interior Detailer,251.85,23,23,109.29,112.83,290
UK,B0CQN1RXYB,AH-GLASSCOATA,Glass Coat,250.95,21,20,55.74,110.47,389
UK,B0DVB4P9KQ,AH-VEHSHAM16A,Vehicle Shampoo,179.68,14,13,6.98,23.25,41
UK,B0DJMW6283,AH-MICRTOWEL12A,Microfiber Towels,99.50,10,10,0,0,31
UK,B0CN8HJSYM,AH-PROPAINTKITA,Pro Ceramic Coating,84.95,1,1,0,0,81
UK,B0H7TNPMYM,,,0,0,0,0,0,3
UK,B0FX5WH19H,AH-MFDRYTWLA,Dry Towel,0,0,0,0,0,1
