tab,report_spend_in_week
CC_AUS,775.03
CC_CA,3892.38
CC_DE,542.29
CC_ES,499.38
CC_FR,903.65
CC_IT,169.96
CC_NL,58.4
CC_SA,147.37
CC_UK,1882.62
CC_US,31228.26
CL_US,933.4
PP_US,998.3
