market,campaign,ad_type,state,spend,sales,orders
US,[US]_B07SHJVK4G_TRIM_SP_EX_cerakote ceramic trim coat,SP,enabled,84.21,912.61,53.0
US,[US]_B084RQKLV8_HL_SP_EX_headlights restoration,SP,enabled,83.66,323.1,17.0
US,[US]_B0FYRJ1966_PLASTIC_SP_EX_PLASTIC PUSH,SP,enabled,79.62,697.96,39.0
US,[US]_B0B94G13CN_RCPAINT_SP_BR_ceramic coat,SP,enabled,76.32,287.91,13.0
US,[US]_B084QKLV8_HL_SP_PT_ COMP_B00429NKWK_SYLVANIA,SP,enabled,75.87,316.7,15.0
US,[US]_B084RQKLV8_HL_SP_EX_headlight cleaner and restorer kit,SP,enabled,73.6,323.1,18.0
US,[US]_BEST SELLERS_SD_REMARKET_14,SD,enabled,71.01,179.93,10.0
US,[US]_B0B94G13CN_RCPAINT_SP_PH_ceramic coating,SP,enabled,66.71,77.88,5.0
US,[US]_B0B94G13CN_RCPAINT_SP_BR_cerakote paint,SP,enabled,63.93,377.89,9.0
US,[US]_B0CQN1RXYB_GLASS_SP_PT_B084RQKLV8_HL,SP,paused,63.31,265.23,12.0
US,[US]_B0F45C2YHV_TIRE_SP_PH_tire shine,SP,enabled,63.01,298.22,14.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_ceramic trim coat,SP,enabled,57.68,345.03,17.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_cerakote trim restorer,SP,enabled,55.58,594.03,32.0
US,[US]_B0B94G13CN_RCPAINT_SP_PT_B0DVV6K9Y6_SOAP32,SP,enabled,54.27,231.06,12.0
US,[US]_B0CQN1RXYB_GLASS_SP_EX_BRAND_cerakote glass ceramic coating,SP,enabled,53.99,144.49,5.0
US,[US]_B0B94G13CN_RCPAINT_SP_BR_rapid paint sealant,SP,enabled,53.91,207.31,12.0
US,[US]_B0B94G13CN_RCPAINT_SP_PT_COMP_B088H2X1B3_ADVANCED GRAPHENE,SP,enabled,51.1,114.4,6.0
