market,asin,category,category_rank,subcategory,subcategory_rank
NL,B084RQKLV8,Automotive,21,Koplampreparatiesets,1
NL,B07SHJVK4G,Automotive,228,Autopoets- & polijstmiddelen,10
NL,B0B94G13CN,Automotive,853,Exterieur onderhoud,68
NL,B0FYRJ1966,Automotive,1520,Auto-interieurverzorging,15
NL,B0CQN1RXYB,Automotive,1582,Waterafstotende coatings voor autoruiten,2
NL,B0F45C2YHV,Automotive,3517,Glansmiddel banden,2
NL,B0DKVZRX69,Automotive,8813,Auto-interieurverzorging,39
NL,B0DJMW6283,Automotive,24151,Microvezeldoeken,105
NL,B0FW6WFX4D,Automotive,53054,Opvullers hechtmiddelen & sealings,286
