tab,asin,name,sales,gross_revenue,units,sessions,ad_cost,ads_acos
CL_US,_TOTAL_,,21820.25,23197.07,316,2280,942.71,73.2
CL_US,B0CJRV63CT,C-Series Glacier Black 4oz (C-7600T),2282.96,2423.32,46,547,139.23,56.37
CL_US,B0CJRVJFPR,C-Series Glacier Black 16oz (C-7600P),1304.43,1363.81,13,123,9.16,9.16
CL_US,B081J7XGV3,H-Series Top Colors Starter Kit,1349.94,1414.05,6,39,6.42,0
CL_US,B0CJRXFW47,C-Series Burnt Bronze 4oz (C-148T),1107.43,1171.82,23,296,86.8,85.09
CL_US,B0CJRTVXWG,C-Series Graphite Black 4oz (C-102T),953.55,1004,19,92,23.8,61.03
CL_US,B0BMJCDZML,C-Series Burnt Bronze Project Kit (C-148),779.94,832.54,6,33,5.59,0
CL_US,B0BMJM7RB5,C-Series Graphite Black Project Kit (C-102),777.34,795.7,6,125,124.48,0
CL_US,B0CJRVC2N9,C-Series Flat Dark Earth 4oz (C-246T),599.4,635.13,12,115,3.79,0
CL_US,B0CJRXFW4F,C-Series Glacier Silver 16oz (C-7700P),302.85,319.21,3,29,37.05,18.52
CL_US,B0CL14BYN9,H-Series Graphite Black 16oz (H-146P),359.8,392.78,4,14,23.33,13.11
