market,asin,sku,title,sales,units,orders,ppc_cost,ppc_sales,sessions
NL,_TOTAL_,,,1319.70,66,61,46.89,253.89,487
NL,B084RQKLV8,AH-HLKITA,CERAKOTE Ceramic Headlight Restoration Kit,733.25,35,33,26.12,121.17,205
NL,B07SHJVK4G,AH-TRKITA,Cerakote Keramische coatingkit (Trim Coat),379.05,19,17,9.90,84.09,117
NL,B0B94G13CN,AH-RCPAINTA,Cerakote Keramische coating voor verf,83.80,4,4,0,0,31
NL,B0F45C2YHV,AH-RCTIRE10A,CERAKOTE Rapid Keramische Bandencoating,50.85,3,3,2.03,14.01,28
NL,B0FYRJ1966,AH-RCPL-B14A,CERAKOTE Rapid Ceramic Plastic Restorer,33.90,2,2,0,0,30
NL,B0CQN1RXYB,AH-GLASSCOATA,Cerakote keramische coating voor glas,25.90,2,1,8.84,34.62,68
NL,B0DKVZRX69,AH-RCINT14A,CERAKOTE Rapid Keramische Interieur Detailer 414 ml,12.95,1,1,0,0,7
NL,B0DJMW6283,AH-MICRTOWEL12A,CERAKOTE Microfiber Handdoeken 12,0,0,0,0,0,1
