market,asin,sku,title,sales,units,orders,ppc_cost,ppc_sales,sessions
CA,_TOTAL_,,,44295.49,1466,1439,3497.67,25091.98,9948
CA,B084RQKLV8,AH-HLKITA,CERAKOTE Ceramic Headlight Restoration Kit,26126.48,780,769,1679.40,14339.21,4269
CA,B07SHJVK4G,AH-TRKITA,CERAKOTE Ceramic Trim Coat Restoration Kit,7346.04,238,235,523.56,4255.00,2014
CA,B0F45C2YHV,AH-RCTIRE10A,CERAKOTE Rapid Ceramic Tire Coat 10 oz,4132.47,189,182,551.14,2678.92,1108
CA,B0B94G13CN,AH-RCPAINTA,CERAKOTE Platinum Rapid Ceramic Paint Sealant Spray 14 oz,3427.28,115,112,453.56,2375.85,1021
CA,B0FYRJ1966,AH-RCPL-B14A,CERAKOTE Rapid Ceramic Plastic Restorer and Protectant Spray 14 oz,2151.55,94,93,290.01,1443.00,997
CA,B0FW6WFX4D,AH-RCWHL14A,CERAKOTE Rapid Ceramic Wheel Sealant Spray 14 oz,621.50,26,26,0,0,128
CA,B0DVB4P9KQ,AH-VEHSHAM16A,CERAKOTE High Foam Vehicle Shampoo 16 oz,335.20,16,14,0,0,86
CA,B0DJMW6283,AH-MICRTOWEL12A,CERAKOTE Microfiber Towels 12 Pack,111.79,7,7,0,0,58
CA,B0H1NM7467,AH-RCPL-QA,CERAKOTE Rapid Ceramic Plastic Restorer Pro Pack 32 oz,43.18,1,1,0,0,37
CA,B08DDGFXPK,AH-810A,CERAKOTE Ceramic Trim Coat 50 Wipes,0,0,0,0,0,120
CA,B0C4QX35KX,AH-TRPROAUPC,CERAKOTE Ceramic Trim Coat 4 oz,0,0,0,0,0,83
CA,B0F3G1V5SF,AH-813A,CERAKOTE Ceramic Glass Coat Pro Pack 20 Wipes,0,0,0,0,0,7
CA,B0H1NP4461,AH-RCPV14A,CERAKOTE Rapid Ceramic PPF and Vinyl Protective Sealant Spray 14 oz,0,0,0,0,0,1
CA,B0H51RDY69,AH-PROACKIT,CERAKOTE Aircraft Ceramic Coating 60 ml Kit,0,0,0,0,0,1
CA,B0H3QRH9B7,AH-PROMARKITA,CERAKOTE Marine Ceramic Coating 60 ml Kit,0,0,0,0,0,14
CA,B0F8JJM54R,AH-CLAYMITTA,CERAKOTE Clay Prep Mitt,0,0,0,0,0,3
CA,B0GT6FZRL1,AH-REPAIRHL,Cerakote Headlight Repair Kit,0,0,0,0,0,1
