tab,asin,name,sales,gross_revenue,units,sessions,ad_cost,ads_acos
PP_US,_TOTAL_,,11950.98,12716.3,402,1373,946.91,79.32
PP_US,B0CWVWKS22,High Gloss Black 1LB (PSS-11248),1089.45,1151.83,42,130,30.8,0
PP_US,B0CY3H9K1L,Super Chrome Plus 1LB (UMS-10671),906.86,958.23,23,258,187.76,103.17
PP_US,B08C5KXZQK,Gloss Black 1LB (USS-2603),779.39,814.37,38,169,47.08,20.12
PP_US,B00MI5357U,Clear Vision 1LB (PPS-2974),695.7,741.53,25,220,177,80.82
PP_US,B0CXW5XSYG,Basic White Texture 1LB (PTB-11165),36.38,39.2,1,0,1.48,0
PP_US,B00MI516TO,Gloss White 1LB (PSS-5690),554.19,590.45,23,87,44.91,30.76
PP_US,B0CWWJJYS1,Super Durable Matte Black 1LB (PSS-11181),144.7,157.26,5,7,3.84,0
PP_US,B086XLFY59,Bronze Chrome 1LB (PMB-4124),276.21,296.91,10,60,8.35,0
PP_US,B00MI5BL30,Hot Yellow 1LB (PSS-1623),425.62,430.61,13,6,12.51,0
PP_US,B00MI5B7UC,Stone Black 1LB (PSS-1168),198.72,213.22,8,8,5.54,0
